Smiles,Standard Value
Cc1ncc([N+](=O)[O-])n1C/C(=N/NC(=O)c1ccc(Cl)cc1)c1ccc(Br)cc1,12450
Nc1c(-c2ccc(F)cc2)c(-c2ccncc2)nn1-c1c(Cl)cc(Cl)cc1Cl,3300
Nc1nccn2c1c(-c1ccc3ccc(-c4ccccc4)nc3c1)nc2[C@H]1C[C@@H](CN2CCC2)C1,9600
CCCCCCCCCNC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,3580
N#CC(C#N)=Cc1ccc(O)c(O)c1,35000
COc1ccc(C2CC(c3ccc(Br)c(Br)c3)=NN2C(N)=S)cc1,8090
Cc1ccc(C2CC(c3ccc(Br)c(Br)c3)=NN2C(N)=S)cc1,9830
Cc1ccc(C2=NN(C(N)=S)C(c3ccccc3Cl)C2)cc1C,3870
CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(Br)cc1,18450
COc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1NC(=O)/C=C/CN1CCOCC1,3830
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccn2)c1O,3400
CCCCCCCCCOC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,4960
CCCCCCCCCCCCCCCCCCOC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,692
CCCCCCCCCCCCCCCCCCCCOC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,1589
CCCCCCCNC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,6280
COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)coc2c1,1270
N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,800
O=[N+]([O-])/C=C/c1ccc(O)cc1,10000
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,2880
CC(C)c1cc(/C=C2\C(=O)Nc3ccccc32)cc(C(C)C)c1O,400
CN(CC(O)CO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,3.236
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CNC(=O)[C@H]1CCCCN1C,8
CC(C)c1cc(/C=C2\C(=O)Nc3ccccc32)cc(C(C)C)c1O,15300
CC(=O)N1N=C(c2ccc(C)c(C)c2)CC1c1ccccc1Cl,21480
CN(C)CCN(C)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,281
O=C(Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1)N1CCC(F)(F)CC1,5311
CN(C)CCCN(C)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,5261
COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)cc3O)ncnc2cc1OCCCN1CCN(C)CC1,350
COc1cc2c(N(C)c3ccc(-c4nc5ccccc5s4)c(OC)c3)ncnc2cc1OCCCN1CCN(C)CC1,1400
CN(CCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)CCS(C)(=O)=O,831.76
Cc1cc(C)c(O)c(CN(Cc2ccc(O)cc2)C(=S)Nc2ccccc2)c1,5830
COC(=O)[C@@]1(Cc2ccc(O)c(CC=C(C)C)c2)OC(=O)C(O)=C1c1ccc(O)cc1,590000
O=S(=O)(O)CCNc1c(Br)cccc1Nc1ncnc2ccncc12,1.413
CN(C)c1ccc2c(Nc3cccc(Br)c3)ncnc2n1,331.13
CC(C)c1ccc(NC(=O)c2ccc(N(CCCl)CCCl)cc2)cc1,750
COc1cc2ncnc(N[C@@H](C)c3ccccc3)c2cc1OCCCCCCC(=O)NO,5077
CC(=O)N1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,3
C=CC(=O)Nc1cccc(-n2c(=O)cnc3cnc(Nc4ccc(N5CCOCC5)cc4)nc32)c1,2.86
Cc1cccc(Nc2ncnc3ccc(N(C)C(=O)N(CCCl)N=O)cc23)c1,1139
CS(=O)(=O)Nc1ccc2c(c1)CNc1c(Nc3cccc(Br)c3)ncnc1O2,7000
C=CC(=O)Nc1ccc(-n2c(=O)c(C)nc3cnc(Nc4ccc(OC)cc4)nc32)cc1,16338
C=CC(=O)Nc1ccc(-n2c(=O)cnc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)cc1,395
CCCCN(Cc1cccc(Cl)c1O)C(=S)Nc1ccccc1,18120
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1ccc(O)c(O)c1,5000
CN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,11
Nc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1/C=N/N1CCOCC1,16
COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)c(C)c3)ncnc2cc1OCCCN1CCN(C)CC1,32
COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)cc3C)c2cc1OCCCN1CCN(C)CC1,1400
COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)c(O)c3)c2cc1OCCCN1CCN(C)CC1,3300
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,5.4
CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,0.45
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,100
N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,10000
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccccc1,100
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,180
COc1cc(OC)c2c(=O)c(-c3cccc(Cl)c3)coc2c1,500000
COc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccc(Br)cc3)C2)cc1,5560
Cc1[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c(C)c1CCC(=O)O,180
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,450
N#C/C(=C\c1ccccc1)C(=O)O,850000
CN(c1ccccc1)c1ncnc2ccc(N)cc12,8400
COc1cc2ncnc(NC3CC3c3ccccc3)c2cc1OC,10
C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,100
Cc1ccc2c(Nc3ccc(F)c(Cl)c3)ncnn12,3250
O=C(Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)c1cccc2c1OCCO2,1290
O=C(Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)C1COc2ccccc2O1,2750
Clc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCO5)cc23)c1,216
CCOc1cc2ncnc(NC3=CC(=O)C(OC)=CC3=O)c2cc1NC(=O)/C=C/CN(C)C,799.3
